numero_filmes,ano
326,1988
325,1986
406,1995
415,1993
216,1977
623,2003
380,1994
467,1999
49,1941
480,2000
696,2005
390,1997
43,1927
650,2004
233,1979
383,1992
873,2007
809,2006
181,1968
548,2002
325,1985
453,1998
389,1996
296,1982
296,1984
283,1981
309,1987
334,1989
38,1933
111,1959
215,1976
292,1983
386,1990
519,2001
255,1978
37,1932
40,1931
57,1930
877,2008
505,1896
106,1961
301,1980
98,1954
384,1991
198,1971
1447,2014
54,1942
198,1973
63,1953
43,1944
199,1974
85,1955
51,1940
64,1935
25,1920
176,1972
96,1956
94,1958
107,1963
144,1960
55,1952
41,1943
54,1946
49,1945
149,1965
117,1957
128,1964
155,1966
41,1938
177,1967
109,1962
191,1975
931,2009
61,1950
58,1947
206,1969
14,1915
42,1929
48,1939
51,1925
164,1970
12,1922
50,1951
69,1895
245,1902
37,1937
48,1928
46,1926
22,1924
46,1949
75,1948
1123,2011
1142,2012
872,1910
299,1904
492,1908
25,1916
37,1934
42,1936
1286,2013
365,1903
985,2010
26,1921
1461,2015
421,1900
12281,2025
1761,2017
4,1888
53,1894
8,1892
3,1893
337,1906
558,1909
20,1923
1095,1911
744,1913
2,1889
620,1897
5,1890
1548,1912
5,1891
442,1898
25,1918
24,1917
2036,2020
1547,2016
326,1905
1904,2018
348,1907
2481,2022
292,1901
339,1899
21,1914
27,1919
2016,2019
1,1887
2182,2021
5278,2024
4164,2023
1,1874
1,1882
4,1878
