genero,numero_filmes,ano_inicial,ano_final,media_ponderada_geral,media_simples_geral,diferenca_medias
Drama,15291.0,1893,2025,7.07,6.24,0.83
Comédia,10982.0,1892,2025,6.69,6.15,0.55
Crime,3563.0,1894,2025,6.93,6.17,0.77
Romance,5540.0,1896,2025,6.91,6.31,0.6
Ação,5246.0,1894,2025,6.85,6.01,0.84
Thriller,5830.0,1900,2025,6.81,6.42,0.39
Aventura,3377.0,1901,2025,6.97,6.52,0.45
Ficção científica,2475.0,1896,2025,6.91,6.28,0.63
Animação,2537.0,1878,2025,7.24,6.6,0.64
Família,2540.0,1878,2025,7.0,6.53,0.47
Mistério,2408.0,1896,2025,6.75,6.53,0.22
Terror,4034.0,1896,2025,6.51,6.18,0.33
Fantasia,2822.0,1896,2025,6.76,6.49,0.26
Guerra,946.0,1896,2025,6.99,6.55,0.44
Música,1759.0,1894,2025,7.12,6.5,0.62
Faroeste,593.0,1894,2025,6.41,6.09,0.32
História,1538.0,1895,2025,7.0,6.5,0.5
Documentário,5681.0,1874,2025,6.8,7.08,-0.28
Cinema TV,954.0,1952,2025,6.65,6.56,0.09
