ano,media_popularidade,qtd_filmes
1915,3.88,14
1951,3.3,50
1938,3.21,41
1932,3.12,37
1943,3.1,41
1942,3.0,54
2002,2.95,548
1940,2.95,51
1950,2.89,61
1988,2.88,326
1995,2.88,406
1937,2.88,37
1914,2.86,21
2001,2.8,519
1946,2.8,54
1997,2.79,390
1994,2.78,380
1949,2.78,46
1941,2.77,49
1992,2.76,383
1961,2.76,106
1987,2.75,309
1998,2.74,453
2005,2.73,696
1968,2.71,181
1999,2.67,467
1948,2.67,75
1945,2.66,49
1954,2.65,98
1956,2.65,96
1928,2.64,48
1953,2.63,63
1975,2.63,191
1996,2.59,389
1993,2.58,415
1974,2.58,199
2008,2.57,877
1986,2.56,325
2007,2.56,873
2004,2.55,650
2009,2.54,931
2003,2.53,623
1944,2.53,43
1963,2.53,107
1962,2.51,109
2000,2.5,480
1939,2.5,48
1972,2.49,176
1964,2.49,128
1934,2.49,37
2006,2.48,809
1966,2.48,155
1985,2.47,325
2010,2.46,985
1977,2.45,216
1973,2.45,198
1970,2.44,164
1922,2.44,12
1984,2.43,296
1989,2.42,334
1990,2.41,386
1947,2.41,58
1936,2.41,42
1960,2.4,144
1981,2.39,283
1991,2.36,384
1923,2.35,20
1976,2.34,215
1935,2.34,64
2012,2.34,1142
1924,2.33,22
2014,2.32,1447
1982,2.3,296
1959,2.3,111
1952,2.29,55
1957,2.29,117
2011,2.29,1123
1967,2.28,177
1921,2.28,26
2016,2.28,1547
1965,2.27,149
1929,2.26,42
1979,2.25,233
2013,2.25,1286
1933,2.24,38
1971,2.21,198
1983,2.2,292
1931,2.2,40
2015,2.2,1461
1925,2.18,51
1969,2.16,206
1955,2.14,85
1980,2.13,301
2017,2.12,1761
1978,2.08,255
2018,2.05,1904
2019,2.03,2016
1958,2.0,94
1926,2.0,46
1927,1.91,43
1920,1.84,25
2021,1.84,2182
2020,1.74,2036
1918,1.73,25
1917,1.68,24
1930,1.65,57
2022,1.6,2481
1916,1.44,25
2025,1.36,12281
1919,1.29,27
2024,1.24,5278
2023,1.15,4164
1909,0.67,558
1911,0.65,1095
1912,0.59,1548
1910,0.55,872
1874,0.53,1
1913,0.48,744
1908,0.43,492
1905,0.36,326
1897,0.35,620
1896,0.33,505
1888,0.32,4
1903,0.3,365
1907,0.3,348
1902,0.28,245
1901,0.27,292
1904,0.26,299
1900,0.25,421
1906,0.24,337
1895,0.22,69
1898,0.22,442
1899,0.2,339
1887,0.17,1
1882,0.16,1
1892,0.13,8
1889,0.13,2
1890,0.13,5
1894,0.1,53
1893,0.09,3
1891,0.09,5
1878,0.03,4
