genero,titulo,nota_media,ranking
Ação,Batman: O Cavaleiro das Trevas,8.5,1
Ação,O Senhor dos Anéis: O Retorno do Rei,8.49,2
Ação,Os Sete Samurais,8.45,3
Animação,A Viagem de Chihiro,8.54,1
Animação,Your name.,8.48,2
Animação,O Túmulo dos Vagalumes,8.45,3
Aventura,O Senhor dos Anéis: O Retorno do Rei,8.49,1
Aventura,Interestelar,8.46,2
Aventura,O Senhor dos Anéis: A Sociedade do Anel,8.4,3
Aventura,Guerra nas Estrelas: O Império Contra-Ataca,8.4,3
Aventura,O Senhor dos Anéis: As Duas Torres,8.4,3
Aventura,O Castelo Animado,8.4,3
Cinema TV,Steven Universo: O Filme,8.2,1
Cinema TV,"Miraculous World: Nova Iorque, Heróis Unidos",8.1,2
Cinema TV,Orações para Bobby,8.1,2
Comédia,Dilwale vai levar a noiva,8.5,1
Comédia,Parasita,8.5,2
Comédia,Pulp Fiction: Tempo de Violência,8.49,3
Crime,Um Sonho de Liberdade,8.71,1
Crime,O Poderoso Chefão,8.69,2
Crime,O Poderoso Chefão: Parte II,8.57,3
Documentário,Selena Gomez: Minha Mente e Eu,8.62,1
Documentário,One Direction: This Is Us,8.25,2
Documentário,Noite e Neblina,8.25,3
Drama,Um Sonho de Liberdade,8.71,1
Drama,O Poderoso Chefão,8.69,2
Drama,O Poderoso Chefão: Parte II,8.57,3
Família,A Viagem de Chihiro,8.54,1
Família,Robô Selvagem,8.32,2
Família,Guerreiras do K-Pop,8.28,3
Fantasia,A Viagem de Chihiro,8.54,1
Fantasia,À Espera de um Milagre,8.5,2
Fantasia,O Senhor dos Anéis: O Retorno do Rei,8.49,3
Faroeste,Três Homens em Conflito,8.46,1
Faroeste,Era uma Vez no Oeste,8.28,2
Faroeste,Django Livre,8.18,3
Ficção científica,Interestelar,8.46,1
Ficção científica,Guerra nas Estrelas: O Império Contra-Ataca,8.4,2
Ficção científica,Homem-Aranha: No Aranhaverso,8.4,3
Guerra,A Lista de Schindler,8.57,1
Guerra,O Túmulo dos Vagalumes,8.45,2
Guerra,O Pianista,8.38,3
História,A Lista de Schindler,8.57,1
História,Harakiri,8.4,2
História,Noite e Neblina,8.25,3
Mistério,Psicose,8.42,1
Mistério,Seven - Os Sete Crimes Capitais,8.38,2
Mistério,Janela Indiscreta,8.35,3
Música,Selena Gomez: Minha Mente e Eu,8.62,1
Música,Whiplash: Em Busca da Perfeição,8.38,2
Música,Guerreiras do K-Pop,8.28,3
Romance,Dilwale vai levar a noiva,8.5,1
Romance,Your name.,8.48,2
Romance,Forrest Gump: O Contador de Histórias,8.47,3
Terror,Psicose,8.42,1
Terror,Vá e Veja,8.23,2
Terror,O Iluminado,8.21,3
Thriller,Batman: O Cavaleiro das Trevas,8.5,1
Thriller,Parasita,8.5,2
Thriller,Pulp Fiction: Tempo de Violência,8.49,3
