ano,rank_do_genero,genero,media_nota_ano
1874,1,Documentário,6.4
1878,1,Família,8.2
1878,2,Animação,7.6
1882,1,Documentário,6.0
1887,1,Documentário,5.0
1888,1,Documentário,5.2
1889,1,Documentário,4.0
1890,1,Documentário,4.4
1891,1,Documentário,3.6
1892,1,Comédia,6.0
1892,2,Animação,4.8
1892,3,Documentário,3.4
1893,1,Drama,4.1
1893,2,Documentário,1.8
1894,1,Música,6.1
1894,2,Ação,5.2
1894,3,Drama,5.0
1894,3,Comédia,5.0
1894,3,Crime,5.0
1895,1,História,6.4
1895,2,Drama,5.4
1895,3,Ação,4.5
1896,1,Mistério,6.2
1896,2,Terror,5.8
1896,3,Ficção científica,5.7
1897,1,Música,5.3
1897,2,Ação,4.9
1897,2,Guerra,4.9
1898,1,Animação,7.0
1898,2,Romance,6.3
1898,3,Fantasia,5.8
1899,1,Família,6.2
1899,2,Romance,5.7
1899,3,Fantasia,5.3
1899,3,Ficção científica,5.3
1900,1,Animação,6.4
1900,2,Família,6.0
1900,3,Fantasia,5.2
1900,3,Mistério,5.2
1901,1,Terror,5.6
1901,2,Romance,5.3
1901,3,História,5.2
1902,1,Aventura,6.3
1902,1,Ficção científica,6.3
1902,3,Família,6.0
1903,1,Família,6.0
1903,2,Ação,5.4
1903,3,Aventura,4.7
1904,1,Ficção científica,7.2
1904,2,Aventura,6.5
1904,3,Terror,5.8
1905,1,Música,4.9
1905,2,Aventura,4.5
1905,2,Fantasia,4.5
1906,1,Família,6.2
1906,2,Ação,5.5
1906,3,Música,4.9
1906,3,Romance,4.9
1907,1,Família,6.2
1907,2,Animação,6.1
1907,3,Ficção científica,5.1
1908,1,Família,5.3
1908,2,Animação,4.8
1908,3,Thriller,4.7
1909,1,Música,4.4
1909,2,Fantasia,4.3
1909,3,Animação,4.1
1910,1,Ficção científica,4.3
1910,2,Aventura,4.0
1910,3,Animação,3.9
1911,1,Fantasia,4.7
1911,2,Animação,4.6
1911,3,Guerra,4.2
1912,1,Animação,4.0
1912,1,Guerra,4.0
1912,3,Ficção científica,3.6
1913,1,Ficção científica,3.9
1913,2,Família,3.8
1913,3,Aventura,2.3
1914,1,Aventura,5.6
1914,1,Ação,5.6
1914,3,Comédia,4.8
1915,1,Comédia,6.2
1915,2,História,5.9
1915,2,Guerra,5.9
1916,1,Ação,6.2
1916,1,Ficção científica,6.2
1916,3,História,6.0
1917,1,Romance,10.0
1917,2,Faroeste,5.4
1917,3,Comédia,4.0
1918,1,Faroeste,5.7
1918,2,Comédia,3.9
1918,3,Drama,1.5
1919,1,Romance,7.5
1919,2,Faroeste,5.4
1919,3,Drama,4.3
1920,1,Terror,7.9
1920,1,Thriller,7.9
1920,3,Romance,5.7
1921,1,Terror,7.8
1921,2,Fantasia,6.8
1921,3,Romance,5.8
1922,1,Fantasia,7.7
1922,2,Terror,7.6
1922,2,História,7.6
1923,1,Crime,7.0
1923,2,Comédia,2.6
1923,2,Romance,2.6
1924,1,Documentário,10.0
1924,2,Ação,8.1
1924,2,Mistério,8.1
1925,1,Guerra,7.6
1925,2,Música,7.1
1925,3,Terror,6.9
1926,1,Fantasia,7.9
1926,1,Terror,7.9
1926,1,Guerra,7.9
1927,1,Ficção científica,8.1
1927,2,Família,8.0
1927,3,Terror,6.8
1927,3,Mistério,6.8
1928,1,Fantasia,7.0
1928,2,História,6.4
1928,3,Guerra,6.2
1929,1,Documentário,8.0
1929,2,Terror,7.5
1929,3,Thriller,7.2
1930,1,Guerra,7.1
1930,2,Aventura,5.5
1930,2,Faroeste,5.5
1931,1,Aventura,10.0
1931,2,Thriller,8.1
1931,3,Ficção científica,7.5
1932,1,Terror,7.0
1932,2,Fantasia,6.9
1932,3,Thriller,6.4
1933,1,História,10.0
1933,2,Aventura,7.6
1933,2,Fantasia,7.6
1934,1,Crime,7.5
1934,2,Thriller,6.5
1934,3,História,6.4
1935,1,Terror,7.5
1935,2,Fantasia,6.4
1935,3,Ficção científica,6.1
1936,1,Animação,6.9
1936,2,Música,6.0
1936,3,Faroeste,5.8
1937,1,Guerra,7.9
1937,2,Terror,6.8
1937,2,Romance,6.8
1938,1,Ficção científica,10.0
1938,2,Thriller,7.4
1938,2,Mistério,7.4
1939,1,Guerra,7.9
1939,2,Aventura,7.6
1939,2,Fantasia,7.6
1939,2,Família,7.6
1940,1,Guerra,7.4
1940,2,Fantasia,7.2
1940,2,Família,7.2
1941,1,Aventura,7.3
1941,2,Crime,7.2
1941,3,Terror,7.0
1942,1,Família,7.1
1942,2,Fantasia,6.9
1942,2,Ação,6.9
1942,2,Ficção científica,6.9
1943,1,Aventura,7.4
1943,2,Fantasia,7.0
1943,3,Mistério,6.8
1943,3,Romance,6.8
1944,1,Thriller,7.5
1944,2,Mistério,7.3
1944,3,Crime,7.2
1945,1,Aventura,7.5
1945,2,Crime,7.4
1945,3,Romance,7.3
1946,1,Fantasia,7.8
1946,2,Aventura,7.2
1946,2,Mistério,7.2
1947,1,Fantasia,7.5
1947,2,Aventura,7.4
1947,2,Família,7.4
1948,1,Faroeste,7.2
1948,1,Thriller,7.2
1948,3,Terror,7.1
1949,1,Aventura,10.0
1949,2,Mistério,7.1
1949,3,Faroeste,6.9
1949,3,Thriller,6.9
1949,3,Romance,6.9
1949,3,Família,6.9
1950,1,Mistério,7.8
1950,2,Crime,6.9
1950,3,Animação,6.8
1950,3,Thriller,6.8
1951,1,Família,7.2
1951,2,História,7.1
1951,2,Thriller,7.1
1951,2,Ficção científica,7.1
1952,1,Ficção científica,8.3
1952,2,Faroeste,7.7
1952,3,Aventura,7.6
1952,3,Terror,7.6
1953,1,Mistério,8.0
1953,2,Terror,7.8
1953,3,Fantasia,7.6
1954,1,Ação,8.2
1954,2,Ficção científica,8.0
1954,3,Mistério,7.7
1955,1,Mistério,7.3
1955,2,Thriller,7.1
1955,3,Cinema TV,7.0
1956,1,Thriller,6.9
1956,2,Aventura,6.8
1956,3,Família,6.7
1957,1,Thriller,7.2
1957,2,Fantasia,6.8
1957,3,Aventura,5.8
1958,1,Crime,7.0
1958,2,Thriller,6.9
1958,3,Ação,6.7
1959,1,Aventura,7.7
1959,2,Crime,7.2
1959,3,Thriller,6.7
1959,3,Família,6.7
1960,1,Terror,7.4
1960,2,Thriller,7.2
1960,2,Mistério,7.2
1961,1,Música,8.1
1961,2,Mistério,7.1
1961,3,Família,6.9
1962,1,Mistério,7.8
1962,2,Aventura,7.1
1962,3,Thriller,6.2
1963,1,Mistério,7.7
1963,2,Guerra,7.1
1963,3,Aventura,7.0
1964,1,Mistério,7.0
1964,2,Terror,6.9
1964,3,Ficção científica,6.6
1965,1,Fantasia,6.3
1965,2,Terror,6.2
1965,3,Aventura,6.0
1966,1,Família,6.6
1966,2,História,6.3
1966,3,Faroeste,6.0
1967,1,Música,6.4
1967,2,Crime,6.2
1967,3,Thriller,6.0
1968,1,Guerra,6.6
1968,2,Thriller,6.1
1968,3,História,5.7
1969,1,Thriller,6.6
1969,1,Guerra,6.6
1969,3,Crime,5.9
1970,1,Família,7.1
1970,2,Aventura,6.6
1970,3,Fantasia,6.2
1971,1,Aventura,6.5
1971,1,Fantasia,6.5
1971,3,Thriller,6.2
1972,1,Família,10.0
1972,2,Música,7.5
1972,3,Aventura,6.7
1973,1,Guerra,7.3
1973,2,Mistério,7.1
1973,3,Faroeste,7.0
1974,1,Família,7.4
1974,2,Faroeste,6.9
1974,3,Aventura,6.5
1975,1,Aventura,6.9
1975,1,Fantasia,6.9
1975,3,Música,6.8
1976,1,Fantasia,7.3
1976,2,Faroeste,7.0
1976,2,Mistério,7.0
1977,1,Faroeste,10.0
1977,2,Música,7.2
1977,3,Mistério,6.3
1978,1,Aventura,6.2
1978,1,História,6.2
1978,1,Thriller,6.2
1978,1,Ficção científica,6.2
1979,1,Fantasia,8.4
1979,2,Mistério,6.5
1979,3,Aventura,6.4
1980,1,Guerra,7.1
1980,2,História,7.0
1980,3,Animação,6.9
1981,1,História,7.0
1981,2,Música,6.6
1981,3,Aventura,6.5
1982,1,Aventura,6.6
1982,2,Comédia,5.7
1982,2,Thriller,5.7
1982,2,Crime,5.7
1982,2,Ficção científica,5.7
1983,1,História,8.1
1983,2,Cinema TV,6.9
1983,3,Faroeste,6.8
1984,1,Guerra,6.6
1984,2,Crime,5.9
1984,3,Aventura,5.8
1984,3,Ficção científica,5.8
1985,1,Aventura,6.5
1985,2,Fantasia,6.3
1985,3,Comédia,6.2
1986,1,Fantasia,6.5
1986,2,Aventura,6.4
1986,3,Crime,6.2
1987,1,Guerra,6.9
1987,2,Aventura,6.4
1987,3,Fantasia,6.2
1987,3,Faroeste,6.2
1987,3,Ficção científica,6.2
1988,1,Aventura,6.8
1988,2,Fantasia,6.5
1988,3,História,6.4
1989,1,Guerra,6.8
1989,2,Aventura,6.1
1989,2,Crime,6.1
1990,1,Faroeste,7.0
1990,2,Mistério,6.8
1990,3,Ficção científica,6.0
1991,1,Aventura,6.5
1991,2,Faroeste,6.2
1991,2,Mistério,6.2
1992,1,Faroeste,7.3
1992,2,Thriller,6.2
1992,3,Terror,6.1
1992,3,Guerra,6.1
1993,1,Guerra,7.2
1993,2,Faroeste,6.8
1993,3,Aventura,5.9
1993,3,Animação,5.9
1993,3,Ficção científica,5.9
1994,1,Faroeste,6.7
1994,2,Mistério,6.2
1994,3,Aventura,6.1
1995,1,Cinema TV,7.1
1995,2,Família,6.6
1995,3,Aventura,6.5
1996,1,Música,6.8
1996,2,Aventura,6.2
1996,3,Thriller,6.0
1997,1,Cinema TV,6.4
1997,2,Aventura,6.2
1997,2,Terror,6.2
1997,2,Faroeste,6.2
1997,2,Thriller,6.2
1997,2,Ficção científica,6.2
1997,2,Mistério,6.2
1998,1,Guerra,6.7
1998,2,Aventura,6.2
1998,2,Crime,6.2
1999,1,Guerra,7.7
1999,2,Faroeste,7.4
1999,3,Aventura,6.4
1999,3,Mistério,6.4
2000,1,Aventura,6.2
2000,1,Família,6.2
2000,3,Cinema TV,6.1
2001,1,Guerra,6.8
2001,2,Aventura,6.5
2001,2,Fantasia,6.5
2002,1,Faroeste,7.7
2002,2,Música,7.6
2002,3,História,7.2
2003,1,Faroeste,6.6
2003,2,Aventura,6.4
2003,2,Mistério,6.4
2004,1,Aventura,6.6
2004,2,Fantasia,6.4
2004,2,História,6.4
2005,1,Faroeste,6.6
2005,2,Aventura,6.3
2005,2,Romance,6.3
2005,2,Família,6.3
2006,1,Aventura,6.3
2006,1,Guerra,6.3
2006,3,Fantasia,6.2
2006,3,Crime,6.2
2006,3,Família,6.2
2007,1,Faroeste,6.9
2007,2,Guerra,6.4
2007,3,Crime,6.3
2008,1,Faroeste,6.9
2008,2,Guerra,6.4
2008,3,Animação,6.3
2008,3,Família,6.3
2009,1,História,6.7
2009,2,Mistério,6.4
2009,2,Cinema TV,6.4
2010,1,Guerra,7.1
2010,2,Aventura,6.4
2010,3,Fantasia,6.0
2010,3,Crime,6.0
2011,1,Aventura,6.5
2011,2,Família,6.2
2011,3,Crime,6.1
2012,1,Crime,6.3
2012,2,Aventura,6.2
2012,2,Fantasia,6.2
2013,1,Guerra,6.9
2013,2,Fantasia,6.5
2013,3,Faroeste,6.4
2014,1,Faroeste,6.8
2014,2,Família,6.5
2014,3,Aventura,6.4
2015,1,História,6.6
2015,2,Família,6.4
2015,3,Ação,6.3
2015,3,Faroeste,6.3
2015,3,Guerra,6.3
2016,1,Faroeste,6.5
2016,1,Família,6.5
2016,3,Aventura,6.4
2016,3,Ação,6.4
2017,1,Aventura,6.7
2017,2,Família,6.4
2017,3,Crime,6.3
2017,3,Guerra,6.3
2018,1,Aventura,6.7
2018,2,Família,6.4
2018,3,Crime,6.2
2019,1,Faroeste,8.1
2019,2,Aventura,6.8
2019,3,Família,6.7
2020,1,Faroeste,7.4
2020,2,Guerra,6.5
2020,3,Família,6.3
2021,1,Família,6.8
2021,2,Guerra,6.7
2021,3,Aventura,6.6
2022,1,Aventura,7.4
2022,2,Faroeste,7.3
2022,3,Fantasia,6.8
2022,3,Ação,6.8
2022,3,Mistério,6.8
2022,3,Cinema TV,6.8
2023,1,Faroeste,9.0
2023,2,Mistério,7.8
2023,3,Fantasia,7.6
2024,1,Faroeste,7.7
2024,2,Mistério,7.5
2024,2,Família,7.5
2025,1,Ação,4.3
2025,2,Aventura,4.1
2025,3,Faroeste,3.9
